"avg_sim_to_p_wrd, mutation rate: 0.2",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,1.0,1.0000000000000004,1.0,1.0,1.0
0.25,1.0,1.0000000000000004,1.0,0.9999999999999996,1.0,0.9999999999999998
0.5,1.0,1.0,0.18965135654962229,1.0000000000000004,0.016010038617144895,1.0
0.75,1.0000000000000004,1.0,0.9999999999999998,1.0000000000000004,0.7541446006949104,1.0000000000000004
1.0,1.0000000000000004,1.0000000000000004,0.2144305832479234,1.0,1.0000000000000004,0.23701321128062647
"avg_sim_to_s_wrd, mutation rate: 0.2",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,1.0,1.0000000000000004,1.0,1.0,1.0
0.25,1.0,1.0000000000000004,1.0,0.9999999999999996,1.0,0.9999999999999998
0.5,1.0,1.0,0.18965135654962229,1.0000000000000004,0.016010038617144895,1.0
0.75,1.0000000000000004,1.0,0.9999999999999998,1.0000000000000004,0.7541446006949104,1.0000000000000004
1.0,1.0000000000000004,1.0000000000000004,0.2144305832479234,1.0,1.0000000000000004,0.23701321128062647
"avg_final_sim_to_s_wrd, mutation rate: 0.2",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0
0.25,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999
0.5,1.0,1.0,0.18965135654962226,1.0000000000000002,0.016010038617144902,1.0
0.75,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0.7541446006949103,1.0000000000000002
1.0,1.0000000000000002,1.0000000000000002,0.21443058324792352,1.0,1.0000000000000002,0.23701321128062647
"prob_of_failure_list, mutation rate: 0.2",0.5,1.0,1.5,2.0,2.5,3.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,1.0,0.0,1.0,0.0
0.75,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0
"avg_num_of_wrd_list, mutation rate: 0.2",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,1.0,1.0,1.0,1.0,1.0
0.25,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,2.0,1.0,2.0,1.0
0.75,1.0,1.0,1.0,1.0,2.0,1.0
1.0,1.0,1.0,2.0,1.0,1.0,2.0
"avg_sim_to_p_wrd, mutation rate: 0.4",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,0.9999999999999998,1.0000000000000004,0.9999999999999998,1.0000000000000004,1.0
0.25,1.0,0.3003443832954724,1.0000000000000004,1.0,1.0,1.0000000000000004
0.5,0.9999999999999998,0.6165951643751746,0.9999999999999998,1.0,0.2302396125654036,0.9999999999999996
0.75,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
1.0,0.9999999999999998,0.4268979418299992,0.48266431718202996,0.11491508567911546,0.19840068183659332,1.0000000000000004
"avg_sim_to_s_wrd, mutation rate: 0.4",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,0.9999999999999998,1.0000000000000004,0.9999999999999998,1.0000000000000004,1.0
0.25,1.0,0.3003443832954724,1.0000000000000004,1.0,1.0,1.0000000000000004
0.5,0.9999999999999998,0.6165951643751746,0.9999999999999998,1.0,0.2302396125654036,0.9999999999999996
0.75,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
1.0,0.9999999999999998,0.4268979418299992,0.48266431718202996,0.11491508567911546,0.19840068183659332,1.0000000000000004
"avg_final_sim_to_s_wrd, mutation rate: 0.4",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0
0.25,1.0,0.3003443832954725,1.0000000000000002,1.0,1.0,1.0000000000000002
0.5,0.9999999999999999,0.6165951643751745,0.9999999999999999,1.0,0.2302396125654036,0.9999999999999998
0.75,1.0,0.9999999999999999,1.0,1.0,1.0,1.0
1.0,0.9999999999999999,0.42689794182999924,0.4826643171820299,0.11491508567911576,0.198400681836593,1.0000000000000002
"prob_of_failure_list, mutation rate: 0.4",0.5,1.0,1.5,2.0,2.5,3.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0,1.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0
"avg_num_of_wrd_list, mutation rate: 0.4",0.5,1.0,1.5,2.0,2.5,3.0
0.002,1.0,1.0,1.0,1.0,1.0,1.0
0.25,1.0,2.0,1.0,1.0,1.0,1.0
0.5,1.0,2.0,1.0,1.0,2.0,1.0
0.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,2.0,2.0,2.0,1.0
