"avg_sim_to_p_wrd, mutation rate: 1.0",1.1,1.2,1.3,1.4
0.002,0.9321967474018678,0.8913912436669921,0.8379545250797662,0.78162547386318
0.25,0.9160382002127043,0.8757600422443154,0.8254148586819717,0.7836043267526546
0.5,0.9058770949598794,0.8597158569849701,0.8142732761121892,0.7529763628493166
0.75,0.8826632295586204,0.8408033285741953,0.773866488404108,0.7358711517962293
1.0,0.8143992462758857,0.7841563033886279,0.7229404536327251,0.673456624826882
"avg_sim_to_s_wrd, mutation rate: 1.0",1.1,1.2,1.3,1.4
0.002,0.4795295585957829,0.3907247163159282,0.3034389748879729,0.2700753231192277
0.25,0.47682164822441825,0.37844717463432603,0.2814458923403954,0.24445727149203378
0.5,0.3932228605122328,0.3321623175438946,0.2936735264171523,0.2581324802315696
0.75,0.38061724919337864,0.3281606057770682,0.2443503760021604,0.24417610250901864
1.0,0.2881379955672906,0.27381563238635725,0.21042322642389957,0.2169892938222464
"avg_final_sim_to_s_wrd, mutation rate: 1.0",1.1,1.2,1.3,1.4
0.002,0.3638209890923348,0.24514223588219017,0.1902422367980635,0.18469934721677506
0.25,0.3591318910593265,0.24970321006408758,0.14767660168456262,0.15765041356187756
0.5,0.2532718242542297,0.22619141902758322,0.1918654365181059,0.12758451768836152
0.75,0.25533446500786416,0.22273412730296893,0.15613934914632313,0.16369832449004246
1.0,0.1541200303788352,0.18134494175299132,0.14604233144068232,0.15518575759086395
"prob_of_failure_list, mutation rate: 1.0",1.1,1.2,1.3,1.4
0.002,0.104,0.15239999999999998,0.23200000000000004,0.3064
0.25,0.1308,0.18679999999999997,0.25159999999999993,0.29560000000000003
0.5,0.14039999999999997,0.19920000000000004,0.2616,0.33759999999999996
0.75,0.1756,0.22799999999999998,0.3156,0.3576
1.0,0.2676,0.30959999999999993,0.38359999999999994,0.4368000000000001
"avg_num_of_wrd_list, mutation rate: 1.0",1.1,1.2,1.3,1.4
0.002,3.9,4.7,6.750000000000001,7.1
0.25,3.1,5.800000000000001,7.199999999999999,8.200000000000001
0.5,5.699999999999999,6.6000000000000005,7.199999999999998,8.249999999999998
0.75,4.45,6.150000000000001,8.600000000000001,9.95
1.0,7.799999999999999,8.899999999999999,11.000000000000004,11.250000000000002
